Id,District Name,Neighborhood Name,Street,Weekday,Month,Day,Hour,Part of the day,Mild injuries,Serious injuries,Victims,Vehicles involved,Longitude,Latitude
2017S004615,Sant Martí,El Camp de l'Arpa Del Clot,Las Navas de Tolosa,Thursday,May,25,14,Afternoon,1,0,1,3,2.1852720000000003,41.416365
2017S007775,Sant Martí,El Camp de l'Arpa Del Clot,Indústria / Trinxant,Wednesday,September,20,12,Morning,1,0,1,2,2.183245,41.416336
2017S004484,Sant Martí,El Camp de l'Arpa Del Clot,Trinxant / Indústria,Saturday,May,20,21,Afternoon,1,0,1,2,2.183245,41.416336
2017S010680,Sant Martí,El Camp de l'Arpa Del Clot,Indústria,Tuesday,December,26,20,Afternoon,2,0,2,1,2.183561,41.416371999999996
2017S005152,Sant Martí,El Camp de l'Arpa Del Clot,Indústria,Monday,June,12,15,Afternoon,1,0,1,1,2.184059,41.416763
2017S003932,Sant Martí,El Camp de l'Arpa Del Clot,Maragall,Wednesday,May,3,20,Afternoon,1,0,1,1,2.181225,41.413958
2017S010348,Sant Martí,El Camp de l'Arpa Del Clot,Indústria,Thursday,December,14,20,Afternoon,1,0,1,2,2.18229,41.415772
2017S000245,Sant Martí,El Camp de l'Arpa Del Clot,St Antoni M Claret / Pg Maragall,Wednesday,January,11,7,Morning,1,0,1,2,2.180453,41.41579
2017S005695,Sant Martí,El Camp de l'Arpa Del Clot,Sant Antoni Maria Claret / Guinardó,Friday,June,30,12,Morning,1,0,1,2,2.18114,41.416295
2017S007384,Sant Martí,El Camp de l'Arpa Del Clot,Sant Antoni Maria Claret,Monday,September,4,16,Afternoon,0,1,1,2,2.176324,41.412546
2017S008080,Sant Martí,El Camp de l'Arpa Del Clot,Sant Antoni Maria Claret,Saturday,September,30,19,Afternoon,1,0,1,2,2.176324,41.412546
2017S003439,Sant Martí,El Camp de l'Arpa Del Clot,Còrsega / Còrsega,Monday,April,17,14,Afternoon,1,0,1,2,2.178314,41.410784
2017S002410,Sant Martí,El Camp de l'Arpa Del Clot,Còrsega / Dos de Maig,Saturday,March,25,14,Afternoon,4,0,4,2,2.1777189999999997,41.410323
2017S009296,Sant Martí,El Camp de l'Arpa Del Clot,Indústria,Thursday,November,9,22,Night,1,0,1,1,2.17674,41.411445
2017S010102,Sant Martí,El Camp de l'Arpa Del Clot,Rosselló / Independència,Monday,December,4,0,Night,2,0,2,2,2.1801,41.410287
